"X" "Y"
"526" 426440.603260402 4948231.26812384
"527" 421522.512129833 4932303.75650599
"528" 453588.526796106 4941090.45006406
"529" 507774.631277785 4948910.46285217
"530" 373884.642839515 5007626.13773806
"531" 365839.011965156 4976685.31148929
"532" 366877.610014152 4945736.12466299
"533" 375869.40309185 4916134.87096075
"534" 465232.581972033 4970540.48829176
"535" 438366.045344137 4986821.96121411
"536" 459921.116602547 4992584.60263464
"537" 470857.156330618 4940401.48222268
